;"PC-1";"PC-2";"PC-3";"PC-4";"PC-5";"PC-6"
"286";0,0007092746;0,0004406237;4,463807E-05;0,000210983;0,0001993909;-0,0002749147
"287";0,0006828737;0,001497151;-0,0003101412;7,69561E-05;3,757064E-06;0,0002821845
"288";0,0007860321;0,001597951;-0,0001898414;0,0001014915;-0,0001185019;0,0003632067
"289";-0,001750925;-0,0001124187;4,654745E-05;-3,867221E-06;-6,397889E-05;0,000126119
"290#1";-0,001273171;-2,100147E-05;3,046467E-05;1,83644E-05;-9,747074E-05;0,0001826195
"295";0,0001620346;0,0008448839;0,001463998;-0,002328108;-0,001123072;0,0001879156
"298";0,0001783714;0,0008778402;0,001358242;-0,002183682;-0,001056969;0,0001740807
"301#1";-0,005769372;2,734776E-06;-1,196054E-05;-0,0001683515;1,946178E-05;0,0002065238
"302";-0,005541765;6,991018E-05;2,586615E-05;-0,0001259553;-1,234194E-05;0,0001261836
"340";0,0009605068;0,001655247;-0,0002349426;5,714316E-05;-7,465929E-05;0,0001531011
"341";0,0009210386;0,001627027;-0,000262283;9,24798E-05;2,14375E-05;0,0002263287
"342";0,0009859748;-8,253856E-05;-0,0002476089;-0,0002883562;0,0001071345;-9,149512E-05
"343";0,001068911;-0,0006509001;-9,361944E-05;-0,0002437072;0,0001344487;-3,944329E-05
"344";0,000956716;0,0001557386;-0,0002016418;-0,000323119;0,0002195499;-4,614341E-05
"345";0,0009866263;-2,807461E-05;-0,0001932589;-0,0003097428;0,0002031962;-2,420814E-06
"346";0,0009831601;-5,855064E-05;-0,0002742344;-0,0002761924;0,0001244456;-0,0001563448
"347";0,001061111;-0,0003512629;-0,0002030212;-0,0002197992;8,410918E-05;-5,252925E-05
"348";0,0003803819;-0,0004375321;-0,0001804346;-0,0003923804;0,0002703776;-8,205149E-05
"349";-8,062485E-05;-0,0003670896;-0,0001917451;-0,000354618;0,0001827485;-0,0001425131
"350";-0,000168168;-0,0002625338;-0,0001092429;-0,0002125063;0,0001598598;-0,0001236859
"351";-0,0001974144;3,24286E-05;-0,0002086061;-0,0002949901;0,0002248479;-0,0001039455
"352";-0,0009072367;-0,0003814331;5,449807E-06;0,0001052223;-0,0003075011;-0,0004500413
"353";-0,0008591662;-0,0002702596;-4,129566E-06;0,0001222172;-0,0003168996;-0,0004689908
"354";-0,000797171;-0,0001486094;-3,050704E-05;0,0001468995;-0,0003443771;-0,0004110128
"355#1";-0,001149343;-0,0005478422;-3,267238E-05;9,542116E-05;-0,000442038;-0,0006193815
"356";-0,0005235624;-0,0001469558;2,351536E-05;0,00017465;-0,0002577443;-0,0003847886
"357";-0,0006123325;-0,000360752;6,090682E-05;0,0001777344;-0,0002772743;-0,0004869589
"358#1";-0,0001674696;-0,0001710226;-9,24627E-05;-2,153299E-05;0,0001966825;-0,0001655356
"359";-0,0002788333;-0,0003022864;-1,925079E-05;-5,762862E-06;0,0001572911;-0,0001478867
"360";0,0008417903;0,0001580714;-0,0001611678;-1,451922E-05;0,0002312649;-0,0002357802
"361";0,000838956;3,496123E-05;-0,0001432313;-9,580484E-05;0,0002653821;-0,000140335
"362";0,0008613401;-0,0001242498;-0,0001017097;-9,661803E-06;0,0002353363;-0,0001743553
"363";0,0008427458;0,0001466441;-0,0001576001;-3,434361E-05;0,0002229329;-0,0002398736
"364";0,0001521079;-0,0001172142;-0,0001929395;-0,0003181171;0,0002140736;-8,831033E-05
"365";6,040049E-05;-0,0001834364;-0,0002473057;-0,0004376739;0,0002739778;-0,0001503059
"366";2,988834E-05;-9,268236E-05;-0,0002029948;-0,000265189;0,0002496428;-0,0001127273
"367";0,0002279742;-0,0001676665;-0,00019655;-0,0003324151;0,000261323;-0,0001216127
"368";-0,0002767552;-0,000305249;-0,0001140276;-0,0001936466;8,840566E-05;-0,0001354474
"369";-0,0002875961;9,887852E-05;-0,0002194481;-0,0002884134;0,0001184135;-0,0001705526
"370";-1,03048E-05;-0,0001672235;-0,0001286976;-0,0002618585;0,0001843991;-9,629723E-05
"371";0,0002499049;-0,000107409;-0,0001278975;-0,0002360239;0,0001914613;-8,646816E-05
"372#1";-0,0001907644;0,0002820604;7,229092E-05;-4,754949E-05;-0,0001086606;-6,595944E-05
"373";-0,0002158886;0,0002773261;0,0001174824;-6,298455E-05;-9,141831E-05;-5,114589E-05
"374";0,0007972956;6,003284E-05;-9,336342E-05;-0,0003809817;0,0002712574;-7,124274E-05
"375";0,0007630457;4,564294E-05;-8,753965E-05;-0,0003957562;0,0002780848;-0,0001149522
"376";0,0008002719;1,461089E-05;-3,365188E-05;-0,0004001621;0,0002817438;-6,237801E-05
"377";0,0008017102;6,190586E-05;-8,306137E-05;-0,0003843278;0,0002664801;-0,0001082984
"378";-0,0001732042;0,0002995729;0,0001158062;-0,0001082073;-0,0001039356;-7,782618E-05
"379";-0,0002789526;0,0001621028;0,0001397557;-8,462047E-05;-7,766038E-05;-5,00473E-05
"380";-0,0004313515;8,214015E-05;0,0001826502;-0,0002271763;-0,0001653635;-0,0001200248
"381";-0,0004281248;0,0001219133;0,0001453268;-0,0001643179;-0,0001689604;-8,187519E-05
"382";-0,0004419181;3,703499E-05;0,0001812337;-0,0001802499;-0,0001530412;-0,000149943
"383";-0,0004373267;2,524896E-05;0,0001773002;-0,0001944136;-0,0001273571;-0,0001312771
"384";-0,000397043;0,0002076664;0,0001683063;-0,0001767032;-6,571502E-05;-0,0001136954
"385";-0,0003093311;9,434736E-05;0,0001563945;-0,0001912647;-6,631002E-05;-0,0001519186
"386#1";-6,654672E-05;-0,000725506;0,0001991967;6,445255E-05;0,0001061215;-7,69976E-05
"387";0,0002431469;-0,0006357434;0,0002189717;4,493308E-05;-0,000129093;-4,807652E-05
"388";0,000318602;-0,0008654579;0,0002384347;2,668517E-05;-0,0001474123;-8,613145E-05
"389";0,0008376689;-2,893191E-05;2,963879E-05;6,380254E-05;0,0001598959;-0,0001486226
"390";0,0008388119;-0,0002712847;8,139602E-05;1,808754E-05;0,0001116104;-3,726594E-05
"391";0,0008891844;-0,0004155927;9,453666E-05;2,54596E-05;0,0001381668;-6,372141E-05
"392";0,0008660886;7,517646E-05;-1,060627E-05;5,844141E-05;0,0001591635;-0,0001996889
"393";0,0008566828;-4,938242E-07;3,961121E-05;4,884658E-05;0,0001223626;-4,502536E-05
"394";0,0008444539;-0,000120535;5,229132E-05;2,154187E-05;0,0001859981;-8,220756E-05
"395";0,000851939;-0,0001942215;6,221546E-05;7,751006E-05;0,000128114;-0,0001448696
"396";0,0008925188;-0,0001913279;5,800241E-05;8,652507E-05;0,000138747;-0,0001545864
"397";-0,0001973422;-0,0002859825;-3,569898E-05;-5,771057E-05;0,0001240563;-0,0001312114
"398";7,359491E-05;4,694795E-05;-7,115964E-05;-3,086634E-05;0,0001354448;-0,0001246953
"399";-0,0003649418;0,000116006;0,0001471928;-0,0001504152;-0,0001158771;-0,0001061136
"400";-0,0005544588;2,190446E-05;0,0002077951;-0,0002483828;-0,00012064;-0,0001313309
"401";0,0008769689;-2,000028E-05;0,0001292523;7,5531E-05;4,402238E-05;-8,139967E-05
"402";0,0009088514;7,942719E-05;0,0001032946;0,000102833;6,398831E-05;-0,0001000782
"403";0,0008917009;-0,0002825181;0,0001027082;-2,833589E-05;-2,21551E-05;0,0001161818
"404";0,0009234488;-0,0005562334;0,0002225215;2,990207E-05;-9,042102E-06;0,0001418417
"405";0,0008864153;0,0001570646;5,541975E-05;0,0001592115;-3,998868E-05;-9,429148E-05
"406";0,0009434875;-0,0002339134;0,0001155792;0,0001475822;-5,070752E-05;-3,879123E-05
"407";0,0009216602;0,001733668;-0,0001616157;0,0002001233;-0,0001444508;0,0002479381
"408";0,0008650892;0,001719809;-0,0001995292;0,0001502553;-0,0001626705;0,000276819
"409";0,001081729;-0,0003088967;-7,463044E-05;-0,0001894974;-0,000273149;0,000386652
"410#1";0,001115803;-0,0003304989;-5,90042E-05;-0,0001453574;-0,000280897;0,000367111
"411#1";0,001238818;-0,0009413422;-1,165293E-05;-0,0002991539;-0,0004566855;0,0003646644
"412";0,001260139;-0,0008988057;-1,056887E-05;-0,0002954607;-0,000408515;0,0003732513
"416";0,0009188806;-0,000107111;5,440327E-05;0,0001579635;8,834968E-05;0,000102784
"417";0,001050586;-0,0002013923;-0,0001250633;-0,0003532901;0,0001454438;0,0002159973
"418#1";0,001039508;-5,695174E-05;-0,000118317;-0,0002448087;0,000103604;0,0002649068
"419";0,0009822811;-0,0002349817;-0,0001116654;-0,0002961195;0,0001413702;7,245308E-05
"420";0,000970655;1,984975E-06;-0,0001461558;-0,0003268935;0,0002128045;3,644948E-05
"421";0,0008121523;-3,792233E-05;6,806959E-05;-0,000469816;9,476054E-05;-3,279742E-05
"422";0,000794462;-0,0001164729;0,0001263579;-0,0004720518;8,981671E-05;-1,313315E-05
"423";0,0008894029;3,94444E-05;-4,395322E-05;-0,0001654145;0,0001866952;0,0002805175
"424";0,0009090135;-4,37454E-05;-6,227052E-05;-0,0002070152;0,0001816541;0,0002875826
"425";0,0007078187;4,21669E-05;9,807617E-05;-0,0005082797;9,15468E-05;-3,073332E-05
"426";0,0007327619;-0,0001519215;4,395553E-05;-0,0004893411;0,0001351374;-0,000106199
"427";0,0008408382;0,001542146;-0,0001287711;0,000150533;-0,0001230905;0,0003414711
"428";0,0008299981;0,001601361;-0,0001583656;5,227823E-05;-0,0002014844;0,000501123
"429";0,0008569997;0,001564792;-0,0001524722;0,0001363971;-3,375882E-05;0,0002388227
"430";0,0009214647;0,001755633;-0,0001363807;6,092801E-05;-0,0002362445;0,0004164175
"431";0,0008817604;0,001724025;-0,0001245804;0,0001317301;-0,0001296543;0,0003650828
"432";0,0008940613;0,001625991;-0,0001421731;0,0001856312;-0,0001888183;0,0004159836
"481";-0,0003237429;-7,647325E-05;0,0001272186;-1,978783E-05;-0,0001550478;3,742932E-05
"482";-0,000308;-5,821177E-05;0,0001165204;-4,933073E-05;-0,0001535746;5,461069E-05
"483";-0,0002538037;-4,083029E-05;0,0001182079;-1,211329E-05;-0,0001832033;3,616119E-05
"484";-0,0001931012;4,52473E-05;0,0001129103;-3,617335E-05;-0,0001455486;9,725508E-05
"485";-0,0001449591;3,081411E-05;0,0001124557;1,347905E-05;-0,0001440894;8,184055E-05
"486";-0,0001184725;4,328194E-05;0,0001086056;5,552285E-06;-0,0001366179;8,08746E-05
"513";0,0009903522;-7,577126E-05;3,67389E-05;2,893118E-05;-0,0001109548;0,0003177195
"514";0,0009980826;-7,944058E-05;6,802401E-05;1,664594E-05;-9,832518E-05;0,0002896947
"515";0,000996454;-0,0001654219;0,0001299647;7,246213E-05;-5,984819E-05;0,000480356
"516";0,001032433;-8,907363E-05;0,0001087164;8,783015E-05;-1,353442E-05;0,0004427368
"519";0,0009900891;-0,0004418172;0,000158646;5,580126E-05;-5,722549E-05;0,0003947521
"520";0,0009861906;-0,00065214;0,0001701756;9,670404E-05;-7,478311E-05;0,0004165736
"521";0,001063205;-0,0005834805;0,0001523083;8,584511E-05;-7,237558E-05;0,0004033621
"522";0,001008687;-0,0004615108;0,0001717341;9,409005E-05;-6,889385E-05;0,0003983485
"525";0,001008977;-6,609349E-05;-0,000148258;-0,0002400325;8,692056E-05;5,248534E-06
"526";0,0009629932;1,904042E-05;-0,0001680188;-0,0002528569;0,0001662488;-4,450383E-05
"527";0,0009650382;-6,40026E-05;-3,339532E-05;-0,0002603318;8,618642E-05;0,0001075568
"528";0,0009426904;8,54549E-06;-7,473031E-05;-0,0002856092;0,0001204612;5,761809E-06
"531";0,0009902088;0,0002674802;-0,0002534706;-0,0003311129;0,0001703738;0,0001964986
"532";0,001000594;0,000203647;-0,0001309165;-0,0002661296;0,0001513429;0,0002023582
"533";0,001004015;-1,598787E-05;-0,0001497661;-0,0003338122;0,0001765046;6,861739E-05
"534";0,0009814523;-7,056667E-05;-0,000162241;-0,0003616164;0,0001267619;2,846308E-05
"539";0,000839371;0,0003767289;-4,654274E-05;7,497168E-05;4,213817E-05;-3,06123E-05
"540";0,0008886813;0,0003979096;-7,863456E-05;0,0001090408;3,23458E-05;-9,883915E-05
"541";0,0009783008;3,546079E-05;-7,177552E-05;9,155559E-06;8,133095E-06;-1,16542E-05
"542";0,0008946984;0,0002330135;-7,78363E-05;9,440305E-05;0,0001357452;-0,0001641508
"543";0,0009236237;0,0002484505;-8,253992E-05;4,518545E-05;-8,847648E-06;4,551715E-05
"544";0,00093694;-0,0001733191;-1,146159E-05;2,253242E-05;4,424669E-05;3,983298E-05
"545";0,0009323934;-0,0001513941;0,000147139;0,000189585;-8,298492E-05;8,65428E-05
"546";0,0009494342;-0,0003533487;0,0001673441;9,466885E-05;-3,721269E-05;0,0001122846
"547";0,000948168;-0,0005318638;2,435098E-05;-4,781443E-05;8,06505E-05;0,0001200202
"548";0,0009019861;-0,0001297703;-6,40448E-05;-1,663392E-05;0,0001266853;-6,389371E-05
"553";0,0008370269;0,0005881308;-0,0002440442;-8,943602E-05;0,0001879044;-0,0002318645
"554";0,0009061247;0,0002332824;-0,0001061139;-1,95582E-05;0,0001391323;-1,559415E-05
"555";0,0008742408;0,0003450532;-0,0002925908;-0,0001880284;0,0002071076;-0,0002756671
"556";0,0008898065;0,0002647979;-0,0002210229;-0,0001265349;0,0001834808;-0,0001426925
"557";0,0008664128;0,0003774982;-0,0001972531;-7,607496E-05;0,0001517523;-0,0001790869
"558";0,0008871368;0,0001404183;-0,0001194015;-2,122725E-05;9,382311E-05;-8,948414E-05
"565";0,0007395825;-8,4397E-05;0,000279853;-0,0001111634;5,665988E-05;7,758792E-05
"566";0,00071664;-0,0001903552;0,0002762053;-6,487712E-05;2,00616E-06;2,831649E-05
"567";0,0009412645;3,894092E-05;1,044622E-05;3,175184E-05;-9,40973E-06;3,61657E-05
"568";0,0009232124;0,0002874307;-5,846267E-05;5,596444E-05;1,363509E-05;-2,433395E-05
"569";0,0009373417;-8,089764E-05;6,633298E-05;-2,168261E-06;-3,073839E-05;0,0001256696
"570";0,0009422828;5,815892E-05;6,721013E-05;1,366663E-05;-6,320038E-05;0,0001141248
"583";0,000863863;0,0004392744;9,955273E-05;0,0001684629;0,0001250473;0,0001590727
"584";0,0008956969;0,0001872401;0,0001524626;0,000177706;0,000160608;0,0001191697
